,type,target,index,in_c,out_c,h,cpu_conti,cpu_x,gpu_conti,gpu_x,total
0,torch,all,,4,0,224,2.52446,2.54408,2.51009,2.53494,2.53043
1,torch,conv,0.0,4,64,224,0.06909,0.09169,0.07624,0.08329,0.07245
2,torch,conv,1.0,64,64,224,0.20677,0.21825,0.20325,0.21074,0.20542
3,torch,conv,2.0,64,128,112,0.13574,0.14633,0.12422,0.13532,0.12499
4,torch,conv,3.0,128,128,112,0.19854,0.20473,0.18319,0.19428,0.18609
5,torch,conv,4.0,128,256,56,0.10027,0.11718,0.09796,0.10745,0.09648
6,torch,conv,5.0,256,256,56,0.1721,0.18198,0.16691,0.17549,0.16715
7,torch,conv,6.0,256,256,56,0.17644,0.18341,0.16663,0.17595,0.1659
8,torch,conv,7.0,256,512,28,0.13032,0.14904,0.11895,0.13038,0.1187
9,torch,conv,8.0,512,512,28,0.23371,0.23187,0.21552,0.224,0.21741
10,torch,conv,9.0,512,512,28,0.23049,0.22995,0.21707,0.22383,0.21469
11,torch,conv,10.0,512,512,14,0.09475,0.11302,0.09001,0.10023,0.08887
12,torch,conv,11.0,512,512,14,0.09496,0.11598,0.0892,0.10121,0.08895
13,torch,conv,12.0,512,512,14,0.09472,0.11808,0.08956,0.10144,0.08499
14,torch,linear,0.0,25088,4096,0,0.47638,0.49517,0.47841,0.48488,0.47977
15,torch,linear,1.0,4096,4096,0,0.08128,0.10386,0.08648,0.09643,0.08533
16,torch,linear,2.0,4096,100,0,0.01066,0.02404,0.01076,0.02382,0.01332
17,int,all,,4,0,224,6.73895,6.93756,6.81225,6.99058,6.88289
18,int,conv,0.0,4,64,224,0.03353,0.0749,0.03466,0.06941,0.03877
19,int,conv,1.0,64,64,224,0.32315,0.56121,0.32317,0.55329,0.32453
20,int,conv,2.0,64,128,112,0.2559,0.416,0.25624,0.40912,0.26207
21,int,conv,3.0,128,128,112,0.43389,0.6675,0.4165,0.65434,0.41364
22,int,conv,4.0,128,256,56,0.25298,0.47209,0.25316,0.46742,0.25992
23,int,conv,5.0,256,256,56,0.43628,0.6548,0.42498,0.64364,0.42648
24,int,conv,6.0,256,256,56,0.43851,0.64607,0.42776,0.63727,0.42723
25,int,conv,7.0,256,512,28,0.28392,0.5267,0.26441,0.51752,0.26429
26,int,conv,8.0,512,512,28,0.53257,0.78477,0.52148,0.77483,0.52376
27,int,conv,9.0,512,512,28,0.5344,0.78223,0.51986,0.77226,0.52065
28,int,conv,10.0,512,512,14,0.25495,0.48603,0.25432,0.48067,0.25961
29,int,conv,11.0,512,512,14,0.25555,0.49195,0.25586,0.48287,0.26152
30,int,conv,12.0,512,512,14,0.25858,0.48955,0.25824,0.48408,0.26683
31,int,linear,0.0,25088,4096,0,1.88639,1.89,1.88459,1.86751,1.89064
32,int,linear,1.0,4096,4096,0,0.29616,0.30176,0.29116,0.29251,0.29211
33,int,linear,2.0,4096,100,0,0.03659,0.05439,0.03758,0.05467,0.03616
34,float,all,,4,0,224,5.46656,5.61711,5.49847,5.65802,5.50382
35,float,conv,0.0,4,64,224,0.03563,0.07957,0.03711,0.07518,0.04041
36,float,conv,1.0,64,64,224,0.17021,0.3168,0.16285,0.30641,0.16346
37,float,conv,2.0,64,128,112,0.13846,0.20993,0.12731,0.20463,0.12727
38,float,conv,3.0,128,128,112,0.16904,0.27848,0.15715,0.26818,0.15645
39,float,conv,4.0,128,256,56,0.1365,0.22318,0.1368,0.21603,0.14463
40,float,conv,5.0,256,256,56,0.16423,0.25428,0.15342,0.25024,0.15352
41,float,conv,6.0,256,256,56,0.16193,0.25148,0.15247,0.24703,0.15197
42,float,conv,7.0,256,512,28,0.12652,0.20732,0.11594,0.19302,0.11514
43,float,conv,8.0,512,512,28,0.22757,0.28881,0.20605,0.28163,0.20733
44,float,conv,9.0,512,512,28,0.23096,0.29041,0.20776,0.28297,0.20816
45,float,conv,10.0,512,512,14,0.12707,0.2358,0.11626,0.22925,0.12336
46,float,conv,11.0,512,512,14,0.12759,0.24518,0.11659,0.22882,0.125
47,float,conv,12.0,512,512,14,0.1234,0.23476,0.11682,0.22928,0.12347
48,float,linear,0.0,25088,4096,0,3.16666,3.1687,3.18033,3.17266,3.18322
49,float,linear,1.0,4096,4096,0,0.44149,0.45416,0.44716,0.44357,0.44616
50,float,linear,2.0,4096,100,0,0.01685,0.03059,0.01707,0.0349,0.02071
