,type,target,index,in_c,out_c,h,batch,cpu_conti,cpu_x,gpu_conti,gpu_x,total
0,torch,all,0,4,0,224,1,2.50555,2.52654,2.5143,2.52089,2.50808
1,torch,conv,0,4,64,224,1,0.07117,0.08394,0.06943,0.08261,0.06671
2,torch,conv,1,64,64,224,1,0.20709,0.21626,0.20027,0.20955,0.19919
3,torch,conv,2,64,128,112,1,0.13459,0.13806,0.12077,0.13475,0.11887
4,torch,conv,3,128,128,112,1,0.1905,0.1988,0.17893,0.19183,0.17865
5,torch,conv,4,128,256,56,1,0.10226,0.11679,0.09182,0.10724,0.09274
6,torch,conv,5,256,256,56,1,0.17188,0.17793,0.16173,0.17357,0.16046
7,torch,conv,6,256,256,56,1,0.1789,0.18551,0.16106,0.17381,0.16078
8,torch,conv,7,256,512,28,1,0.13098,0.14215,0.11596,0.13014,0.11515
9,torch,conv,8,512,512,28,1,0.23342,0.22577,0.20588,0.22093,0.20841
10,torch,conv,9,512,512,28,1,0.21981,0.22508,0.20593,0.21973,0.20832
11,torch,conv,10,512,512,14,1,0.09535,0.11021,0.08552,0.09953,0.08478
12,torch,conv,11,512,512,14,1,0.09406,0.10686,0.0859,0.10023,0.08318
13,torch,conv,12,512,512,14,1,0.09272,0.10481,0.08586,0.09936,0.08334
14,torch,linear,0,25088,4096,0,1,0.47936,0.49333,0.47924,0.484,0.47425
15,torch,linear,1,4096,4096,0,1,0.08376,0.09978,0.08021,0.0958,0.08284
16,torch,linear,2,4096,100,0,1,0.0109,0.02055,0.01088,0.02314,0.01365
17,torch,all,0,4,0,224,64,84.63222,85.9399,85.8921,85.75286,87.0425
18,torch,conv,0,4,64,224,64,3.68584,3.75193,3.6715,3.60984,3.58522
19,torch,conv,1,64,64,224,64,11.77563,11.83088,11.83411,11.83532,11.85401
20,torch,conv,2,64,128,112,64,5.03354,5.04713,5.03074,5.02012,5.01935
21,torch,conv,3,128,128,112,64,8.79472,8.79875,8.79427,8.80988,8.82132
22,torch,conv,4,128,256,56,64,4.25204,4.27031,4.24656,4.24295,4.24305
23,torch,conv,5,256,256,56,64,7.86221,8.06546,8.03368,7.91516,7.87977
24,torch,conv,6,256,256,56,64,7.7781,7.78807,7.79442,7.78413,7.97658
25,torch,conv,7,256,512,28,64,2.62684,2.73245,2.74082,2.67369,2.74022
26,torch,conv,8,512,512,28,64,7.24397,7.29788,7.29014,7.27183,7.28915
27,torch,conv,9,512,512,28,64,7.28529,7.26038,7.28929,7.28528,7.28524
28,torch,conv,10,512,512,14,64,1.85398,1.85629,1.84599,1.83518,1.85677
29,torch,conv,11,512,512,14,64,1.85354,1.85267,1.84571,1.83301,1.84402
30,torch,conv,12,512,512,14,64,1.85568,1.85746,1.85164,1.83462,1.85626
31,torch,linear,0,25088,4096,0,64,1.08895,1.09999,1.09164,1.07879,1.08584
32,torch,linear,1,4096,4096,0,64,0.14778,0.1662,0.1509,0.1579,0.15195
33,torch,linear,2,4096,100,0,64,0.01601,0.03229,0.01514,0.02942,0.01657
34,int,all,0,4,0,224,1,4.72559,4.99934,4.75419,5.01326,4.78164
35,int,conv,0,4,64,224,1,0.03415,0.06704,0.03445,0.06525,0.0387
36,int,conv,1,64,64,224,1,0.32429,0.55647,0.31986,0.55089,0.31485
37,int,conv,2,64,128,112,1,0.25817,0.41691,0.2573,0.41103,0.26206
38,int,conv,3,128,128,112,1,0.42961,0.66073,0.41208,0.6529,0.41441
39,int,conv,4,128,256,56,1,0.25581,0.472,0.25644,0.46621,0.26247
40,int,conv,5,256,256,56,1,0.4407,0.64589,0.42457,0.63824,0.42141
41,int,conv,6,256,256,56,1,0.43154,0.64673,0.4235,0.64204,0.42555
42,int,conv,7,256,512,28,1,0.28525,0.52699,0.26125,0.51987,0.26549
43,int,conv,8,512,512,28,1,0.52184,0.77888,0.51399,0.77177,0.51989
44,int,conv,9,512,512,28,1,0.53694,0.77661,0.5177,0.76739,0.51778
45,int,conv,10,512,512,14,1,0.25618,0.48762,0.25609,0.48358,0.26405
46,int,conv,11,512,512,14,1,0.258,0.48898,0.25735,0.48382,0.2641
47,int,conv,12,512,512,14,1,0.25579,0.48522,0.25582,0.48319,0.26095
48,int,linear,0,25088,4096,0,1,0.32139,0.3243,0.31086,0.31777,0.31046
49,int,linear,1,4096,4096,0,1,0.05763,0.07305,0.05655,0.06527,0.05294
50,int,linear,2,4096,100,0,1,0.03138,0.04503,0.03093,0.0433,0.03124
51,int,all,0,4,0,224,64,220.94083,218.54456,217.96216,218.03961,217.97177
52,int,conv,0,4,64,224,64,1.71943,1.75823,1.73944,1.75206,1.72784
53,int,conv,1,64,64,224,64,19.2169,19.47375,19.23091,19.43823,19.20003
54,int,conv,2,64,128,112,64,9.57355,9.82229,9.63542,9.83866,9.6371
55,int,conv,3,128,128,112,64,24.52704,24.80555,24.54779,24.74782,24.49387
56,int,conv,4,128,256,56,64,12.15996,12.45179,12.22421,12.45385,12.21807
57,int,conv,5,256,256,56,64,24.44962,24.73922,24.45244,24.65781,24.41059
58,int,conv,6,256,256,56,64,24.38586,24.74367,24.46423,24.65523,24.4077
59,int,conv,7,256,512,28,64,12.02305,12.3071,12.13615,12.3142,12.12226
60,int,conv,8,512,512,28,64,24.52777,24.78094,24.52722,24.69642,24.45715
61,int,conv,9,512,512,28,64,24.49974,24.77653,24.53319,24.71445,24.51219
62,int,conv,10,512,512,14,64,6.00069,6.23701,6.03366,6.2614,6.0429
63,int,conv,11,512,512,14,64,6.023,6.25587,6.0361,6.25484,6.03787
64,int,conv,12,512,512,14,64,6.01968,6.26999,6.03749,6.26414,6.04631
65,int,linear,0,25088,4096,0,64,0.49415,0.50202,0.49349,0.49846,0.49282
66,int,linear,1,4096,4096,0,64,0.09168,0.10646,0.09003,0.10377,0.08778
67,int,linear,2,4096,100,0,64,0.01925,0.03234,0.01887,0.03693,0.02348
68,float,all,0,4,0,224,1,2.51608,2.68086,2.52529,2.64438,2.51935
69,float,conv,0,4,64,224,1,0.0369,0.07323,0.03743,0.07268,0.04184
70,float,conv,1,64,64,224,1,0.16975,0.31488,0.15979,0.30848,0.16237
71,float,conv,2,64,128,112,1,0.14104,0.21085,0.12695,0.20416,0.12447
72,float,conv,3,128,128,112,1,0.17354,0.27313,0.15265,0.26822,0.15397
73,float,conv,4,128,256,56,1,0.13422,0.21958,0.13457,0.21599,0.1412
74,float,conv,5,256,256,56,1,0.16344,0.25205,0.15044,0.248,0.15382
75,float,conv,6,256,256,56,1,0.17041,0.25038,0.15018,0.24838,0.15023
76,float,conv,7,256,512,28,1,0.12883,0.19803,0.11264,0.19479,0.11155
77,float,conv,8,512,512,28,1,0.23577,0.28854,0.2066,0.28392,0.20597
78,float,conv,9,512,512,28,1,0.22807,0.2897,0.20787,0.28484,0.21167
79,float,conv,10,512,512,14,1,0.12785,0.23491,0.11697,0.23057,0.12362
80,float,conv,11,512,512,14,1,0.12745,0.23122,0.11466,0.22739,0.12224
81,float,conv,12,512,512,14,1,0.12876,0.23842,0.11548,0.22895,0.12278
82,float,linear,0,25088,4096,0,1,0.52395,0.53145,0.52098,0.52047,0.5176
83,float,linear,1,4096,4096,0,1,0.09105,0.10496,0.08877,0.10158,0.08892
84,float,linear,2,4096,100,0,1,0.01489,0.02536,0.01466,0.03135,0.01825
85,float,all,0,4,0,224,64,80.89478,81.76161,81.06477,82.35525,81.56657
86,float,conv,0,4,64,224,64,2.18534,2.2056,2.18573,2.1843,2.18999
87,float,conv,1,64,64,224,64,9.46691,9.54815,9.49498,9.62108,9.54879
88,float,conv,2,64,128,112,64,5.15096,5.21869,5.14321,5.18239,5.14793
89,float,conv,3,128,128,112,64,9.02664,8.91896,8.86488,8.90943,8.86383
90,float,conv,4,128,256,56,64,4.2192,4.27457,4.20827,4.23613,4.19697
91,float,conv,5,256,256,56,64,7.68821,7.717,7.6757,7.74467,7.71316
92,float,conv,6,256,256,56,64,7.67276,7.75144,7.66008,7.74353,7.69487
93,float,conv,7,256,512,28,64,3.77779,3.76053,3.66433,3.70349,3.77294
94,float,conv,8,512,512,28,64,7.49322,7.49793,7.47855,7.27696,7.45896
95,float,conv,9,512,512,28,64,7.22175,7.26003,7.17692,7.26544,7.22353
96,float,conv,10,512,512,14,64,1.83426,1.89224,1.8332,1.86878,1.82595
97,float,conv,11,512,512,14,64,1.82841,1.88838,1.82508,1.86455,1.82214
98,float,conv,12,512,512,14,64,1.83022,1.88851,1.83207,1.86834,1.83021
99,float,linear,0,25088,4096,0,64,0.87794,0.89073,0.88032,0.87526,0.8881
100,float,linear,1,4096,4096,0,64,0.16026,0.17396,0.16144,0.16809,0.16246
101,float,linear,2,4096,100,0,64,0.01933,0.0329,0.01915,0.0361,0.02408
